OrderID,Date,Product,Category,Quantity,UnitPrice,DiscountNum,City,Manager,Segment,Cost,Revenue,Profit
ORD-2303-00001,2023-03-03,Headphones Pro,Electronics,5,340.99,0.15,Saint Petersburg,Unknown,B2C,1127.4,1449.21,321.81
ORD-2309-00002,2023-09-09,Keyboard Mech,Office,6,94.5,0.0,Saint Petersburg,Unknown,B2C,443.4,567.0,123.6
ORD-2505-00003,2025-05-14,Paper A4,Office,2,310.56,0.05,Nizhny Novgorod,Petrova,B2C,491.46,590.06,98.6
ORD-2404-00004,2024-04-17,Desk Chair,Office,5,5.31,0.05,Kazan,Kuznetsov,B2B,21.3,25.22,3.92
ORD-2301-00005,2023-01-26,Jeans Slim,Clothing,4,91.79,0.05,Kazan,Volkova,B2B,265.12,348.8,83.68
ORD-2501-00006,2025-01-09,Printer Jet,Office,7,105.33,0.0,Yekaterinburg,Volkova,B2C,589.61,737.31,147.7
ORD-2505-00007,2025-05-22,Vacuum 3000,Home,4,39.73,0.05,Yekaterinburg,Orlov,B2C,105.76,150.97,45.21
ORD-2309-00008,2023-09-07,RC Car,Toys,4,80.33,0.05,Moscow,Petrova,B2C,248.08,305.25,57.17
ORD-2307-00009,2023-07-16,Jeans Slim,Clothing,4,119.13,0.2,Yekaterinburg,Unknown,B2C,317.48,381.22,63.74
ORD-2502-00010,2025-10-02,T-Shirt Cotton,Clothing,7,73.63,0.0,Novosibirsk,Kuznetsov,B2C,428.75,515.41,86.66
ORD-2506-00011,2025-06-18,Tent 2P,Outdoor,6,440.33,0.0,Kazan,Kuznetsov,B2C,2016.3,2641.98,625.68
ORD-2502-00012,2025-02-07,Doll Classic,Toys,7,63.63,0.1,Nizhny Novgorod,Unknown,B2C,302.19,400.87,98.68
ORD-2505-00013,2025-05-07,Monitor 24,Office,7,26.99,0.0,Saint Petersburg,Sidorov,B2C,135.03,188.93,53.9
ORD-2312-00014,2023-12-29,Board Game,Toys,3,93.53,0.1,Yekaterinburg,Smirnova,B2C,232.62,252.53,19.91
ORD-2508-00015,2025-08-09,Thermo Bottle,Outdoor,4,208.56,0.05,Moscow,Ivanov,B2C,680.0,792.53,112.53
ORD-2509-00016,2025-09-10,Monitor 24,Office,2,51.65,0.0,Novosibirsk,Kuznetsov,B2B,81.5,103.3,21.8
ORD-2307-00017,2023-07-22,Board Game,Toys,5,35.96,0.0,Moscow,Unknown,B2C,141.65,179.8,38.15
ORD-2412-00018,2024-12-04,T-Shirt Cotton,Clothing,3,76.94,0.0,Kazan,Ivanov,B2C,147.93,230.82,82.89
ORD-2411-00019,2024-11-14,Keyboard Mech,Office,6,229.81,0.15,Moscow,Sidorov,B2C,977.88,1172.03,194.15
ORD-2407-00020,2024-07-03,Paper A4,Office,2,59.89,0.0,Novosibirsk,Unknown,B2B,73.28,119.78,46.5
ORD-2304-00021,2023-04-06,Tablet Mini,Electronics,1,162.56,0.0,Saint Petersburg,Petrova,B2B,103.29,162.56,59.27
ORD-2507-00022,2025-07-27,Jacket Wind,Clothing,7,34.62,0.0,Yekaterinburg,Ivanov,B2C,158.69,242.34,83.65
ORD-2311-00023,2023-11-28,Coffee Maker,Home,3,194.62,0.0,Nizhny Novgorod,Orlov,B2C,392.01,583.86,191.85
ORD-2412-00024,2024-12-28,Monitor 24,Office,7,61.19,0.0,Saint Petersburg,Volkova,B2C,336.21,428.33,92.12
ORD-2303-00025,2023-03-19,Building Blocks,Toys,2,23.42,0.15,Nizhny Novgorod,Kuznetsov,B2B,33.72,39.81,6.09
ORD-2309-00026,2023-06-09,Paper A4,Office,3,245.87,0.05,Novosibirsk,Ivanov,B2B,537.27,700.73,163.46
ORD-2311-00027,2023-11-18,Headphones Pro,Electronics,6,499.99,0.0,Moscow,Unknown,B2C,2103.78,2999.94,896.16
ORD-2402-00028,2024-02-25,Monitor 24,Office,2,11.67,0.1,Moscow,Orlov,B2C,18.98,21.01,2.03
ORD-2504-00029,2025-04-30,Paper A4,Office,1,87.86,0.2,Yekaterinburg,Unknown,B2C,54.76,70.29,15.53
ORD-2312-00030,2023-12-31,Smartphone X,Electronics,5,950.01,0.0,Kazan,Smirnova,B2B,3915.05,4750.05,835.0
ORD-2406-00031,2024-06-16,Backpack 30L,Outdoor,7,160.48,0.15,Nizhny Novgorod,Ivanov,B2B,949.62,954.86,5.24
ORD-2308-00032,2023-08-08,Jeans Slim,Clothing,2,143.14,0.2,Novosibirsk,Smirnova,B2B,183.1,229.02,45.92
ORD-2411-00033,2024-11-21,Vacuum 3000,Home,3,195.51,0.0,Saint Petersburg,Unknown,B2C,386.79,586.53,199.74
ORD-2402-00034,2024-02-24,Laptop Air,Electronics,1,640.91,0.05,Novosibirsk,Smirnova,B2C,440.94,608.86,167.92
ORD-2508-00035,2025-08-30,Bike Helmet,Outdoor,5,268.34,0.0,Saint Petersburg,Petrova,B2C,1053.0,1341.7,288.7
ORD-2311-00036,2023-11-08,Keyboard Mech,Office,6,205.13,0.1,Saint Petersburg,Orlov,B2C,949.2,1107.7,158.5
ORD-2302-00037,2023-02-12,Tent 2P,Outdoor,5,214.45,0.05,Moscow,Volkova,B2B,905.85,1018.64,112.79
ORD-2308-00038,2023-08-29,Vacuum 3000,Home,1,48.21,0.2,Yekaterinburg,Orlov,B2C,31.99,38.57,6.58
ORD-2312-00039,2023-09-12,Laptop Air,Electronics,7,253.05,0.05,Kazan,Volkova,B2B,1242.5,1682.78,440.28
ORD-2507-00040,2025-07-04,Keyboard Mech,Office,7,66.8,0.0,Moscow,Kuznetsov,B2C,357.21,467.6,110.39
ORD-2401-00041,2024-01-22,RC Car,Toys,3,52.06,0.05,Kazan,Kuznetsov,B2C,117.21,148.37,31.16
ORD-2305-00042,2023-05-28,T-Shirt Cotton,Clothing,1,15.66,0.1,Moscow,Orlov,B2C,12.0,14.09,2.09
ORD-2308-00043,2023-08-03,Tent 2P,Outdoor,4,168.28,0.1,Novosibirsk,Petrova,B2C,482.32,605.81,123.49
ORD-2506-00044,2025-06-01,Thermo Bottle,Outdoor,3,262.61,0.0,Moscow,Kuznetsov,B2C,628.86,787.83,158.97
ORD-2307-00045,2023-07-16,Laptop Air,Electronics,3,1421.72,0.0,Saint Petersburg,Ivanov,B2C,3161.73,4265.16,1103.43
ORD-2309-00046,2023-09-13,Air Purifier,Home,3,123.6,0.1,Yekaterinburg,Kuznetsov,B2C,275.22,333.72,58.5
ORD-2502-00047,2025-02-22,Backpack 30L,Outdoor,4,17.06,0.05,Moscow,Smirnova,B2C,48.56,64.83,16.27
ORD-2403-00048,2024-03-03,T-Shirt Cotton,Clothing,6,152.27,0.0,Saint Petersburg,Orlov,B2B,610.32,913.62,303.3
ORD-2305-00049,2023-05-08,Smartphone X,Electronics,4,283.69,0.2,Kazan,Ivanov,B2C,788.76,907.81,119.05
ORD-2306-00050,2023-06-13,Board Game,Toys,3,47.98,0.0,Novosibirsk,Volkova,B2C,108.81,143.94,35.13
ORD-2503-00051,2025-03-17,Laptop Air,Electronics,7,1071.16,0.05,Yekaterinburg,Kuznetsov,B2C,4836.58,7123.21,2286.63
ORD-2409-00052,2024-09-08,Headphones Pro,Electronics,1,1042.65,0.0,Kazan,Orlov,B2C,879.78,1042.65,162.87
ORD-2305-00053,2023-05-13,Hiking Boots,Outdoor,2,121.01,0.0,Nizhny Novgorod,Kuznetsov,B2C,189.7,242.02,52.32
ORD-2506-00054,2025-06-09,Blender Max,Home,7,31.82,0.05,Moscow,Kuznetsov,B2C,137.2,211.6,74.4
ORD-2401-00055,2024-01-17,Paper A4,Office,4,99.47,0.1,Moscow,Smirnova,B2C,277.04,358.09,81.05
ORD-2401-00056,2024-01-09,Thermo Bottle,Outdoor,5,270.26,0.0,Yekaterinburg,Ivanov,B2B,1010.55,1351.3,340.75
ORD-2312-00057,2023-12-18,Keyboard Mech,Office,7,207.37,0.05,Nizhny Novgorod,Volkova,B2C,1217.65,1379.01,161.36
ORD-2404-00058,2024-09-04,Jeans Slim,Clothing,7,181.85,0.05,Saint Petersburg,Unknown,B2C,1048.46,1209.3,160.84
ORD-2509-00059,2025-09-24,Sneakers Run,Clothing,5,133.48,0.15,Yekaterinburg,Ivanov,B2C,442.35,567.29,124.94
ORD-2506-00060,2025-06-18,Jacket Wind,Clothing,7,70.13,0.0,Saint Petersburg,Kuznetsov,B2C,405.16,490.91,85.75
ORD-2408-00061,2024-08-14,Camera Zoom,Electronics,6,1209.63,0.1,Nizhny Novgorod,Orlov,B2C,5648.16,6532.0,883.84
ORD-2307-00062,2023-07-14,Air Purifier,Home,6,189.9,0.0,Nizhny Novgorod,Ivanov,B2B,957.96,1139.4,181.44
ORD-2506-00063,2025-06-20,Building Blocks,Toys,2,68.71,0.0,Moscow,Sidorov,B2C,114.72,137.42,22.7
ORD-2410-00064,2024-10-06,Smartphone X,Electronics,6,426.26,0.0,Kazan,Unknown,B2C,1593.42,2557.56,964.14
ORD-2412-00065,2024-12-09,Paper A4,Office,7,182.99,0.2,Yekaterinburg,Volkova,B2C,1057.7,1024.74,-32.96
ORD-2501-00066,2025-01-21,Jeans Slim,Clothing,4,101.88,0.1,Yekaterinburg,Volkova,B2B,263.68,366.77,103.09
ORD-2310-00067,2023-10-29,Coffee Maker,Home,6,118.87,0.0,Kazan,Unknown,B2B,602.28,713.22,110.94
ORD-2406-00068,2024-06-19,Doll Classic,Toys,5,38.67,0.0,Novosibirsk,Petrova,B2C,160.3,193.35,33.05
ORD-2408-00069,2024-08-30,Air Purifier,Home,4,182.1,0.0,Nizhny Novgorod,Orlov,B2B,494.36,728.4,234.04
ORD-2404-00070,2024-04-22,Coffee Maker,Home,4,128.78,0.1,Moscow,Sidorov,B2C,399.36,463.61,64.25
ORD-2307-00071,2023-07-13,Air Purifier,Home,5,73.31,0.0,Nizhny Novgorod,Kuznetsov,B2B,220.45,366.55,146.1
ORD-2301-00072,2023-01-04,Vacuum 3000,Home,1,45.35,0.1,Yekaterinburg,Volkova,B2C,33.53,40.82,7.29
ORD-2502-00073,2025-02-09,Headphones Pro,Electronics,4,802.17,0.0,Kazan,Smirnova,B2B,2016.04,3208.68,1192.64
