OrderID;Date;Product;Category;Quantity;UnitPrice;Discount;City;Manager;Segment;Cost
ORD-2509-00016;2025-09-10;Monitor 24;Office;2;51.65;0.0;Novosibirsk;Kuznetsov;B2B;81.5
ORD-2509-00059;09/24/2025;Sneakers Run;Clothing;5;133.48;0.15;Yekaterinburg;Ivanov;B2C;442.35
ORD-2509-00081;2025-09-19;T-Shirt Cotton;Clothing;6;82.99;0.0;Novosibirsk;Kuznetsov;B2C;306.48
ORD-2509-00130;27.09.2025;T-Shirt Cotton;Clothing;4;187.89;0.0;Novosibirsk;Petrova;B2C;579.0
ORD-2509-00143;2025-09-07;Desk Chair;Office;5;84.55;0.0;Yekaterinburg;Kuznetsov;B2B;328.3
ORD-2509-00246;26.09.2025;Air Purifier;Home;4;141.81;0.0;Moscow;Unknown;B2C;421.36
ORD-2509-00265;2025-09-02;Monitor 24;Office;7;177.84;0%;Yekaterinburg;Smirnova;B2B;843.36
ORD-2509-00299;09/21/2025;Vacuum 3000;Home;2;189.08;0.1;Moscow;Smirnova;B2C;270.76
ORD-2509-00362;09/30/2025;Desk Chair;Office;2;284.01;0.05;Kazan;Kuznetsov;B2C;412.24
ORD-2509-00376;2025-09-27;Keyboard Mech;Office;6;104.06;0.0;Nizhny Novgorod;Unknown;B2C;394.56
ORD-2509-00425;20.09.2025;Laptop Air;Electronics;3;419.24;0.0;Moscow;Smirnova;B2C;801.24
ORD-2509-00458;2025-09-22;Cap Sport;Clothing;2;61.49;0%;Nizhny Novgorod;Volkova;B2C;100.24
ORD-2509-00483;2025-09-08;Jacket Wind;Clothing;3;164.02;0.05;Kazan;Sidorov;B2B;337.23
ORD-2501-00524;01/09/2025;Doll Classic;Toys;5;103.01;0.0;Saint Petersburg;Sidorov;B2C;310.7
ORD-2509-00539;2025-09-17;Puzzle 1000;Toys;7;10.56;0.0;Kazan;Unknown;B2B;48.65
ORD-2509-00547;2025-09-04;Jeans Slim;Clothing;4;24.33;0%;Yekaterinburg;Kuznetsov;B2B;81.36
ORD-2509-00613;2025-09-20;Tablet Mini;Electronics;1;557.48;0.05;Yekaterinburg;Sidorov;B2C;469.55
ORD-2509-00662;2025-09-13;Bike Helmet;Outdoor;5;294.99;0%;Novosibirsk;Ivanov;B2C;914.6
ORD-2509-00679;07.09.2025;Paper A4;Office;6;270.17;0.05;Nizhny Novgorod;Unknown;B2B;1262.22
ORD-2509-00710;2025-09-24;Keyboard Mech;Office;7;363.39;0%;Moscow;Petrova;B2C;1862.0
ORD-2509-00757;2025-09-28;Laptop Air;Electronics;7;597.42;0.0;Yekaterinburg;;B2C;3237.78
ORD-2509-00794;2025-09-08;T-Shirt Cotton;Clothing;2;99.05;10%;Moscow;Kuznetsov;B2C;158.62
ORD-2509-00821;2025-09-24;Paper A4;Office;4;176.95;5%;Nizhny Novgorod;Kuznetsov;B2B;573.04
ORD-2509-00935;2025-09-14;Lamp LED;Home;1;147.77;0.0;Moscow;;B2C;100.85
ORD-2509-00936;2025-09-18;Blender Max;Home;2;126.59;0.1;Yekaterinburg;;B2C;197.84
ORD-2509-01015;04.09.2025;Printer Jet;Office;6;128.96;0.0;Kazan;Sidorov;B2B;552.36
ORD-2509-01029;14.09.2025;Board Game;Toys;6;74.77;0.2;Yekaterinburg;;B2B;288.06
ORD-2509-01067;07.09.2025;Smartphone X;Electronics;4;539.88;0.0;Nizhny Novgorod;;B2C;1463.8
ORD-2509-01093;2025-09-08;Desk Chair;Office;4;48.16;0.0;Kazan;;B2C;118.64
ORD-2509-01110;2025-09-12;Puzzle 1000;Toys;7;48.18;0.0;Novosibirsk;Volkova;B2B;204.68
ORD-2509-01160;2025-09-30;Hiking Boots;Outdoor;4;423.35;0.0;Nizhny Novgorod;Ivanov;B2B;1137.28
ORD-2509-01166;2025-09-21;Desk Chair;Office;7;253.23;0.0;Saint Petersburg;;B2C;1342.67
ORD-2509-01193;2025-09-14;Air Purifier;Home;4;114.62;20%;Saint Petersburg;;B2C;279.8
